,System,Night,Tmid,Tmid_err,Obs_start,Obs_end,Trans_start,Trans_end,Sunalt_start,Sunalt_mid,Sunalt_end,Airm_start,Airm_mid,Airm_end,Moon_dist,V_bary,GoodCond,GoodCond_before,GoodCond_after,GoodCond_2
6009,WASP-97 b,2022-10-15,2459868.603135614,0.0016647597424253146,2459868.528500042,2459868.6777712135,2459868.5493333754,2459868.65693788,-25.27,-45.5,-56.27,1.67,1.3,1.17,102.71,-9.04,True,1.0939601585268974,5.045762479305267,True
6010,WASP-97 b,2022-10-17,2459870.6759605864,0.0016657538833813354,2459870.601324877,2459870.7505963277,2459870.6221582103,2459870.729762994,-44.59,-55.5,-48.86,1.29,1.17,1.22,115.28,-9.6,True,2.8204734921455383,3.2628079913556576,True
6011,WASP-97 b,2022-10-19,2459872.748788698,0.0016667480313472698,2459872.674152849,2459872.8234245763,2459872.6949861823,2459872.802591243,-54.72,-48.55,-30.31,1.17,1.23,1.48,123.9,-10.16,True,4.5462870597839355,1.4803716503083706,True
6012,WASP-97 b,2022-11-13,2459897.622933481,0.001678678349178305,2459897.5482966118,2459897.69757038,2459897.5691299452,2459897.6767370463,-25.56,-41.82,-46.89,1.23,1.17,1.26,113.18,-14.26,True,1.189423095434904,3.3525434620678425,True
6013,WASP-97 b,2022-11-15,2459899.695792883,0.0016796725871431012,2459899.6211559246,2459899.770429867,2459899.641989258,2459899.7495965334,-41.05,-46.45,-37.41,1.17,1.27,1.61,122.68,-14.62,True,2.907502043992281,1.4728549607098103,True
6014,WASP-97 b,2022-12-12,2459926.643060933,0.0016925982984748625,2459926.5684236386,2459926.717698248,2459926.589256972,2459926.6968649146,-25.58,-39.23,-41.41,1.18,1.34,1.78,121.28,-15.96,True,1.2520168237388134,0.9690927900373936,True
6015,WASP-97 b,2023-08-01,2460158.7895848835,0.0018040024944550382,2460158.7149539334,2460158.864215859,2460158.735787267,2460158.8433825257,-81.66,-59.51,-35.13,1.84,1.36,1.19,58.57,9.53,True,0.8470476642251015,1.7479469552636147,True
6016,WASP-97 b,2023-08-28,2460185.7348961267,0.0018169380837001572,2460185.6602635947,2460185.8095286866,2460185.681096928,2460185.788695353,-70.16,-69.97,-48.6,1.67,1.3,1.17,60.96,3.17,True,1.30380055680871,2.7415287271142006,True
6017,WASP-97 b,2023-08-30,2460187.807636932,0.0018179331670883832,2460187.733004243,2460187.882269653,2460187.7538375766,2460187.8614363195,-69.72,-48.73,-24.61,1.29,1.17,1.22,55.01,2.53,True,3.1806369312107563,0.9650206603109837,True
6018,WASP-97 b,2023-09-24,2460212.680820246,0.001829874585866474,2460212.606185947,2460212.7554545747,2460212.6270192806,2460212.734621241,-51.04,-64.28,-55.93,1.54,1.24,1.17,63.31,-3.93,True,1.7752580232918262,3.5734436474740505,True
6019,WASP-97 b,2023-09-26,2460214.7536099795,0.0018308697386761295,2460214.678975522,2460214.8282444687,2460214.6998088555,2460214.807411135,-63.44,-55.64,-35.15,1.24,1.17,1.26,55.36,-4.57,True,3.6532686464488506,1.7892128638923168,True
6020,WASP-97 b,2023-10-21,2460239.6273599174,0.0018428119817279242,2460239.5527240247,2460239.70199584,2460239.5735573582,2460239.6811625063,-31.28,-48.88,-53.86,1.43,1.21,1.17,65.22,-10.33,True,1.6119522750377655,4.364800505340099,True
6021,WASP-97 b,2023-10-23,2460241.7001933455,0.001843807202502474,2460241.625557322,2460241.7748294,2460241.6463906555,2460241.7539960663,-47.99,-53.25,-41.94,1.2,1.18,1.32,56.09,-10.87,True,3.336430214345455,2.5835482254624367,True
6022,WASP-97 b,2023-10-25,2460243.773029633,0.0018448024284459298,2460243.698393481,2460243.84766581,2460243.7192268143,2460243.8268324765,-52.65,-41.78,-22.0,1.18,1.33,1.77,56.59,-11.37,True,5.060202173888683,0.8030338101089001,True
6023,WASP-97 b,2023-11-19,2460268.647249507,0.0018567455399165495,2460268.5726124668,2460268.7218865748,2460268.5934458002,2460268.7010532413,-30.43,-43.63,-43.98,1.18,1.2,1.4,56.97,-14.95,True,1.6845429874956608,2.391642976552248,True
6024,WASP-97 b,2023-11-21,2460270.7201130507,0.0018577408323014273,2460270.645475937,2460270.7947501848,2460270.6663092705,2460270.7739168513,-42.98,-43.75,-31.4,1.2,1.41,1.98,55.84,-15.23,True,3.4023378118872643,0.5118555128574371,True
6025,WASP-97 b,2024-08-06,2460529.813448873,0.001982189698288234,2460529.738817608,2460529.888080167,2460529.7596509415,2460529.8672468336,-74.58,-51.11,-26.73,1.53,1.24,1.17,123.4,8.26,True,1.797087661921978,1.124120682477951,True
6026,WASP-97 b,2024-09-02,2460556.758884442,0.0019951363361935944,2460556.684251527,2460556.833517388,2460556.7050848603,2460556.8126840545,-72.17,-62.21,-39.62,1.43,1.21,1.17,123.59,1.63,True,2.2568227350711823,2.075263738632202,True
6027,WASP-97 b,2024-09-27,2460581.6321481057,0.0020070876911585105,2460581.557513583,2460581.7067826544,2460581.5783469165,2460581.685949321,-36.54,-56.35,-62.4,1.84,1.36,1.19,120.08,-4.82,True,0.8533722907304764,4.671433936804533,True
6028,WASP-99 b,2021-10-21,2459509.6637434005,0.022882866953246924,2459509.533407816,2459509.7940790844,2459509.5542411497,2459509.773245751,-25.72,-53.36,-37.66,1.85,1.15,1.19,65.39,-5.28,True,0.7915323302149773,2.1467526108026505,False
6029,WASP-99 b,2021-11-13,2459532.6743974746,0.023042569301186883,2459532.5440596486,2459532.804735403,2459532.564892982,2459532.7839020696,-24.41,-46.86,-30.06,1.32,1.11,1.49,56.31,-10.45,True,1.0840501338243484,1.5751850120723248,False
6030,WASP-99 b,2023-10-10,2460228.727344839,0.027875178923192585,2460228.597010475,2460228.857679308,2460228.6178438086,2460228.8368459744,-45.26,-55.36,-22.42,1.55,1.11,1.28,119.28,-2.48,True,1.5654203854501247,0.8223725259304047,False
6031,WASP-100 b,2021-11-18,2459537.7269131793,0.006352081863452327,2459537.627891138,2459537.8259352595,2459537.6487244717,2459537.805101926,-41.33,-43.57,-24.07,1.43,1.29,1.44,83.49,-3.71,True,2.939460340887308,1.022043138742447,True
6032,WASP-100 b,2021-12-08,2459557.6728501036,0.006407521829849665,2459557.5738277924,2459557.771872453,2459557.594661126,2459557.7510391194,-27.33,-42.1,-34.77,1.42,1.29,1.44,78.1,-4.53,True,1.4280519224703312,2.26029235124588,True
6033,WASP-100 b,2022-11-12,2459896.748720629,0.007351300293145424,2459896.649698702,2459896.847742595,2459896.6705320356,2459896.8269092613,-45.56,-41.92,-18.9,1.41,1.29,1.45,95.9,-3.37,True,3.053788796067238,0.5555720999836922,True
6034,WASP-100 b,2022-12-02,2459916.6946390206,0.007406882205084674,2459916.595616775,2459916.7936613047,2459916.6164501086,2459916.7728279713,-32.95,-43.22,-30.7,1.41,1.29,1.46,78.35,-4.33,True,2.036356743425131,1.7341074720025063,True
6035,WASP-100 b,2023-11-26,2460275.7164310343,0.008408305417859177,2460275.6174088707,2460275.8154532365,2460275.638242204,2460275.794619903,-38.07,-43.17,-26.06,1.4,1.29,1.47,88.12,-4.09,True,2.651933178305626,1.2279216684401035,True
6036,WASP-100 b,2023-12-16,2460295.662385656,0.008463985822294365,2460295.563363287,2460295.761408063,2460295.5841966206,2460295.7405747296,-23.93,-40.81,-36.52,1.4,1.3,1.47,79.22,-4.71,True,1.0889806598424911,2.5419120602309704,True
6037,WASP-101 b,2021-12-25,2459574.7099556397,0.003809253995206935,2459574.632622955,2459574.78728838,2459574.6534562884,2459574.7664550464,-37.07,-41.82,-32.58,1.1,1.0,1.12,81.73,2.42,True,2.6716142669320107,1.9987560287117958,True
6038,WASP-101 b,2022-01-12,2459592.638605725,0.0038292265537572985,2459592.561271375,2459592.71594013,2459592.5821047085,2459592.6951067965,-22.51,-38.83,-43.71,1.17,1.01,1.06,58.78,-4.04,True,0.9272382818162441,3.4741229563951492,True
6039,WASP-101 b,2022-11-27,2459911.768334302,0.004184781953698424,2459911.6910040616,2459911.845664596,2459911.711837395,2459911.8248312627,-44.03,-36.13,-18.23,1.16,1.0,1.07,124.06,11.9,True,2.7248043715953827,0.4979850500822067,True
6040,WASP-101 b,2022-12-15,2459929.6963936873,0.004204759208325727,2459929.619061967,2459929.7737254607,2459929.6398953004,2459929.7528921273,-35.51,-42.05,-34.45,1.26,1.02,1.03,80.06,6.16,True,2.1777414456009865,2.2419687174260616,True
6041,WASP-101 b,2023-01-02,2459947.6248218403,0.004224736678184807,2459947.54748847,2459947.702155262,2459947.5683218036,2459947.6813219287,-18.85,-35.88,-42.56,1.41,1.06,1.01,60.16,-0.23,True,0.5945944972336292,4.133167650550604,True
6042,WASP-101 b,2023-02-14,2459990.654578502,0.004272683465926303,2459990.577241421,2459990.731915628,2459990.5980747547,2459990.7110822946,-31.32,-48.53,-51.65,1.0,1.14,1.69,125.18,-14.62,True,1.6268906481564045,0.9440781734883785,True
6043,WASP-101 b,2023-11-17,2460266.755082805,0.004580368544123934,2460266.677753312,2460266.832412348,2460266.6985866455,2460266.8115790146,-46.06,-39.92,-22.54,1.38,1.05,1.01,126.36,14.8,True,1.735611665993929,0.8785298131406307,True
6044,WASP-101 b,2023-12-05,2460284.6829537814,0.004600349551936243,2460284.60562297,2460284.760284642,2460284.6264563035,2460284.7394513087,-34.42,-42.83,-36.89,1.59,1.11,1.0,80.15,9.7,True,1.1840308047831059,2.533989228308201,True
6045,WASP-101 b,2024-01-17,2460327.711304945,0.00464830463717687,2460327.6339701256,2460327.7886398137,2460327.654803459,2460327.76780648,-38.65,-44.72,-35.89,1.0,1.08,1.47,78.96,-5.85,True,2.689472358673811,1.4334197826683521,True
6046,WASP-101 b,2024-02-04,2460345.6404248304,0.004668286195168415,2460345.5630885144,2460345.717761198,2460345.583921848,2460345.6969278646,-25.42,-43.29,-49.2,1.02,1.03,1.31,122.88,-11.66,True,1.146661151200533,1.9549592100083828,True
6047,HAT-P-45 b,2022-05-03,2459703.8025408303,0.026673151294888273,2459703.7099143253,2459703.8951674164,2459703.7307476588,2459703.874334083,-79.93,-52.59,-22.38,1.57,1.1,1.14,154.29,21.98,True,1.249264094978571,0.7994176894426346,False
6048,HAT-P-45 b,2022-06-19,2459750.7353686937,0.02698811451361506,2459750.6427363213,2459750.8280011523,2459750.663569655,2459750.807167819,-71.96,-77.52,-47.32,1.18,1.08,1.42,75.83,2.98,True,2.716921180486679,1.6028585471212864,True
6049,HAT-P-45 b,2022-07-11,2459772.638462914,0.02713509764124684,2459772.54582744,2459772.731098475,2459772.5666607735,2459772.7102651414,-39.19,-69.38,-79.5,1.36,1.08,1.21,24.33,-7.05,True,1.8327770121395588,2.4868538193404675,True
6050,HAT-P-45 b,2023-05-26,2460091.7961644162,0.029276871007674298,2460091.703535351,2460091.8887935667,2460091.7243686845,2460091.8679602332,-85.54,-56.25,-26.25,1.2,1.08,1.38,118.57,13.69,True,2.587497465312481,1.0978517085313797,True
6051,HAT-P-45 b,2023-06-17,2460113.698450031,0.02942385666427839,2460113.6058180174,2460113.7910821317,2460113.626651351,2460113.770248798,-59.99,-88.73,-59.21,1.41,1.08,1.19,154.69,4.15,True,1.6839504316449165,2.635846495628357,True
6052,HAT-P-45 b,2023-07-09,2460135.601466741,0.02957084246348081,2460135.5088316225,2460135.6941019427,2460135.529664956,2460135.673268609,-27.46,-57.4,-86.87,1.8,1.15,1.1,102.88,-5.89,True,0.7979459390044212,3.5217020474374294,True
6053,HAT-P-45 b,2023-08-03,2460160.6343619833,0.02973882640589571,2460160.5417235303,2460160.727000518,2460160.5625568638,2460160.7061671843,-36.4,-66.53,-78.49,1.12,1.11,1.62,73.0,-16.69,True,1.8841286860406399,1.0938760489225388,True
6054,HAT-P-45 b,2024-05-23,2460454.7593302154,0.031712650472642614,2460454.6667014705,2460454.8519590446,2460454.687534804,2460454.831125711,-80.11,-68.16,-37.94,1.45,1.09,1.17,33.14,14.73,True,1.55655287951231,1.9676880575716496,True
6055,HAT-P-45 b,2024-06-14,2460476.661542689,0.03185963824339504,2460476.568911027,2460476.754174433,2460476.5897443607,2460476.7333410997,-48.08,-78.29,-71.17,1.9,1.16,1.09,89.66,5.3,True,0.6512512229382992,3.668562702834606,True
6056,HAT-P-45 b,2024-07-09,2460501.6935335,0.03202762440456675,2460501.6008981857,2460501.786168899,2460501.6217315192,2460501.7653355654,-57.15,-86.64,-61.6,1.14,1.1,1.54,114.36,-6.54,True,3.0572032257914543,1.2624353282153606,True
6057,HAT-P-45 b,2024-07-31,2460523.5972958207,0.03217461241413795,2460523.504657668,2460523.6899340586,2460523.5254910016,2460523.669100725,-24.5,-54.69,-82.26,1.28,1.07,1.28,154.48,-15.72,True,1.0071627013385296,2.1304025128483772,True
6058,HAT-P-46 b,2022-05-04,2459704.759395949,0.04305856518742816,2459704.6740184473,2459704.844773517,2459704.694851781,2459704.8239401835,-79.29,-66.54,-38.86,1.86,1.18,1.08,155.87,20.38,True,0.7007595375180244,2.015151724219322,True
6059,HAT-P-46 b,2022-07-10,2459771.7048891075,0.04377852299929727,2459771.6195033216,2459771.790274962,2459771.640336655,2459771.7694416284,-63.23,-87.03,-60.23,1.09,1.16,1.74,28.5,-8.72,True,3.782933861017227,0.8571734391152859,True
6060,HAT-P-46 b,2022-07-19,2459780.6314595747,0.04387451747882819,2459780.5460727382,2459780.716846484,2459780.5669060717,2459780.6960131507,-38.76,-66.63,-83.35,1.2,1.08,1.3,110.91,-12.41,True,2.0739968083798885,2.029683228582144,True
6061,HAT-P-46 b,2023-04-26,2460061.8102864157,0.046898355152393136,2460061.7249096045,2460061.895663295,2460061.745742938,2460061.8748299615,-75.18,-49.5,-21.64,1.51,1.11,1.12,140.89,22.8,True,1.3820334076881409,0.7425589933991432,False
6062,HAT-P-46 b,2023-07-11,2460137.681470203,0.04771431487509802,2460137.596084346,2460137.7668561316,2460137.6169176796,2460137.746022798,-55.52,-83.2,-67.9,1.12,1.11,1.5,130.93,-8.98,True,3.270538218319416,1.3695655949413776,True
6063,HAT-P-46 b,2023-07-20,2460146.6080501257,0.047810310226979284,2460146.522663214,2460146.6934371106,2460146.5434965473,2460146.672603777,-31.13,-58.92,-85.15,1.3,1.08,1.21,112.5,-12.68,True,1.5076638758182526,2.541848424822092,True
6064,HAT-P-46 b,2024-04-26,2460427.786795566,0.05083417279744011,2460427.7014187104,2460427.8721724874,2460427.722252044,2460427.851339154,-79.24,-57.15,-29.37,1.76,1.16,1.09,29.01,22.65,True,0.8679117187857628,1.3110367096960545,True
6065,HAT-P-46 b,2024-07-02,2460494.731583042,0.05155414245237719,2460494.646198211,2460494.8169679414,2460494.6670315443,2460494.796134608,-72.36,-79.32,-51.44,1.08,1.17,1.83,146.81,-5.37,True,3.933157078921795,0.7069960534572601,True
6066,HAT-P-46 b,2024-07-11,2460503.658056138,0.05165013847028873,2460503.572670201,2460503.743442149,2460503.5935035343,2460503.7226088154,-47.83,-75.7,-75.55,1.18,1.08,1.34,89.39,-9.26,True,2.7559522166848183,1.8818413987755775,True
6067,HAT-P-46 b,2024-07-20,2460512.58464542,0.05174613450297519,2460512.4992584414,2460512.6700324705,2460512.520091775,2460512.649199137,-23.56,-51.21,-78.84,1.44,1.1,1.14,34.44,-12.91,True,0.941441260278225,3.053900007158518,True
6068,HATS-5 b,2021-11-17,2459536.706594025,0.006850729888121411,2459536.6235611793,2459536.789626935,2459536.6443945128,2459536.7687936015,-40.91,-45.46,-33.0,1.19,1.01,1.08,43.8,1.66,True,2.493934851139784,1.9014574214816093,True
6069,HATS-5 b,2021-12-06,2459555.7602723856,0.006890725651192333,2459555.6772374413,2459555.843307385,2459555.698070775,2459555.8224740517,-42.51,-36.81,-18.71,1.0,1.15,1.82,111.1,-5.91,True,3.936218451708555,0.5426235012710094,True
6070,HATS-5 b,2022-01-18,2459598.6325986246,0.006980716295624684,2459598.549560048,2459598.715637254,2459598.5703933816,2459598.6948039206,-19.79,-38.64,-44.92,1.0,1.11,1.68,79.63,-19.03,True,0.6714309006929398,0.9763043113052845,False
6071,HATS-5 b,2022-09-13,2459836.8026760146,0.007480668419332594,2459836.7196483803,2459836.885703698,2459836.740481714,2459836.8648703643,-66.81,-46.51,-20.2,1.99,1.19,1.01,45.95,20.5,True,0.5246805176138878,0.6438130997121334,False
6072,HATS-5 b,2022-11-14,2459898.7240435127,0.007610657001862586,2459898.641011008,2459898.8070760816,2459898.6618443416,2459898.786242748,-44.1,-44.79,-29.38,1.16,1.0,1.1,77.39,2.89,True,2.7002688758075237,1.5115552134811878,True
6073,HATS-5 b,2023-01-15,2459960.6498234575,0.007740645967876325,2459960.5667850683,2459960.7328618993,2459960.5876184017,2459960.712028566,-24.05,-40.78,-43.28,1.0,1.14,1.79,133.06,-18.35,True,1.0690494887530804,0.7753746919333935,False
6074,HATS-5 b,2023-11-11,2460260.7415026496,0.008370597350249264,2460260.6584704793,2460260.824534884,2460260.679303813,2460260.8037015507,-46.65,-43.32,-25.4,1.13,1.0,1.13,130.98,4.1,True,2.9068343304097652,1.1257290579378605,True
6075,HATS-5 b,2024-01-12,2460322.6670524566,0.008500588214941363,2460322.58401427,2460322.750090694,2460322.6048476035,2460322.7292573606,-28.03,-42.25,-40.95,1.0,1.18,1.93,98.01,-17.62,True,1.4718348607420921,0.5743454732000828,False
6076,WASP-117 b,2023-10-13,2460231.724449918,0.15785095818524514,2460231.5798645914,2460231.8690353744,2460231.600697925,2460231.848202041,-40.22,-54.65,-18.19,1.55,1.11,1.41,121.36,-4.26,True,1.5597934797406197,0.49541961774230003,False
