pl_name,pl_bmassj,pl_eqt,pl_imppar,pl_orbeccen,pl_orbincl,pl_orblper,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_projobliq,pl_radj,pl_trandep,pl_trandur,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,ra,dec,sy_hmag,sy_jmag,sy_kmag,sy_vmag,st_logg,st_mass,st_met,st_rad,st_radv,st_teff,st_vsin
"Kepler-1515 b",0.20800,3.80000000000e+02,0.0587,0.000000,89.990,,214.31141640,0.00012750,-0.00012750,0.765500,,0.852,0.453540,16.1734000,2455169.331329,0.000357,-0.000357,290.9739057,48.1782059,10.9420000,11.1630000,10.8860000,12.1000000,4.26,1.30,0.070,1.41,,6511.00,
"Kepler-157 d",0.00859,9.69000000000e+02,0.7500,0.000000,86.800,,7.02573474,0.00002388,-0.00002388,0.069800,,0.130,0.019070,2.1114000,2454966.629720,0.002750,-0.002750,291.0972257,38.8756049,12.6270000,12.9390000,12.5730000,14.2060000,4.42,1.02,-0.010,1.03,,5866.00,
"Kepler-476 b",0.03050,8.07000000000e+02,0.5014,0.000000,88.330,,14.00640607,0.00001794,-0.00001794,0.112600,,0.275,0.071640,4.6809000,2454975.209317,0.000981,-0.000981,295.1637592,43.9630716,12.3580000,12.6730000,12.2970000,14.0180000,4.38,1.03,0.040,1.09,,5837.00,
"Kepler-478 b",0.02450,6.40000000000e+02,0.4510,0.000000,89.230,,13.22175760,0.00001390,-0.00001390,0.103200,,0.242,0.087650,2.9069000,2454972.570157,0.000873,-0.000873,292.4870063,46.1961870,12.1130000,12.5700000,12.0050000,14.1560000,4.56,0.85,-0.030,0.80,,5210.00,
"Kepler-1496 b",0.01750,5.35000000000e+02,0.1325,0.000000,89.930,,64.65880170,0.00078000,-0.00078000,0.321100,,0.198,0.023540,7.5490000,2455003.178320,0.009090,-0.009090,293.9739359,45.3507167,13.3390000,13.6110000,13.2250000,14.8320000,4.29,1.18,0.050,1.27,,6182.00,
"Kepler-1497 b",0.01070,9.24000000000e+02,0.0250,0.000000,89.910,,8.74199772,0.00008621,-0.00008621,0.081700,,0.148,0.029570,4.2970000,2454968.422200,0.008690,-0.008690,296.1961550,45.6343124,13.7560000,14.1340000,13.6990000,15.7070000,4.47,0.96,0.010,0.95,,5675.00,
"Kepler-1517 b",0.21600,2.33600000000e+03,0.7412,0.000000,83.880,,5.54608367,0.00000709,-0.00000709,0.078000,,0.871,0.214930,2.3929000,2454966.503350,0.001050,-0.001050,287.8072115,43.1888008,11.3460000,11.5050000,11.3030000,12.2280000,4.06,1.58,0.010,1.95,,7010.00,
"Kepler-1569 b",0.01090,1.22200000000e+03,0.1628,0.000000,81.510,,5.79180156,0.00003622,-0.00003622,0.065400,,0.150,0.011850,3.2730000,2454966.357800,0.005590,-0.005590,292.2046748,37.2212065,12.6040000,12.8880000,12.5900000,14.1230000,4.24,1.25,0.060,1.40,,6319.00,
"Kepler-1571 b",0.00920,1.47600000000e+03,0.1290,0.000000,89.470,,3.38555488,0.00001595,-0.00001595,0.043200,,0.136,0.011600,1.9140000,2454966.977960,0.003760,-0.003760,300.9354067,45.5964836,12.1510000,12.4770000,12.0440000,13.9750000,4.24,1.23,0.040,1.39,,6297.00,
"Kepler-1440 b",0.00669,5.97000000000e+02,0.0300,0.000000,89.360,,39.85948400,0.00103400,-0.00103400,0.227400,,0.112,0.015550,8.0600000,2454987.760800,0.020700,-0.020700,285.3469737,48.3122283,12.6410000,12.9510000,12.5610000,14.2400000,4.46,0.98,0.040,0.96,,5698.00,
"Kepler-132 b",0.00606,1.08200000000e+03,0.2600,0.000000,85.280,,6.17819600,0.00002200,-0.00002200,0.067000,,0.108,0.010190,3.2640000,2455001.861980,0.001900,-0.001900,283.2358100,41.3430370,10.5160000,10.7970000,10.4240000,11.9220000,4.31,0.98,-0.216,1.18,,6003.00,
"Kepler-1322 b",0.01010,1.66600000000e+03,0.3290,0.000000,76.660,,0.96286738,0.00000204,-0.00000204,0.018300,,0.144,0.030350,1.6247000,2454965.123980,0.001830,-0.001830,293.2045009,45.4353919,14.1670000,14.5720000,14.0680000,15.8760000,4.52,0.90,-0.070,0.87,,5488.00,
"Kepler-1337 b",0.02010,4.37000000000e+02,0.8548,0.000000,88.300,,24.40025490,0.00010890,-0.00010890,0.144100,,0.215,0.093410,2.8750000,2454968.629390,0.003490,-0.003490,287.0091176,46.7961229,13.4970000,14.0950000,13.2940000,16.2100000,4.64,0.70,-0.090,0.67,,4523.00,
"Kepler-1502 b",0.03220,6.08000000000e+02,0.6710,0.000000,88.650,,41.70836290,0.00034850,-0.00034850,0.248200,,0.284,0.033000,8.4010000,2454986.539490,0.007050,-0.007050,296.1079271,39.3199201,12.9450000,13.1740000,12.9070000,14.1800000,4.13,1.44,0.050,1.72,,6666.00,
"Kepler-1302 b",0.00829,7.78000000000e+02,0.0905,0.000000,86.880,,8.83922659,0.00005866,-0.00005866,0.079500,,0.128,0.031620,1.8030000,2454968.547010,0.005410,-0.005410,290.9892462,50.3080640,13.2670000,13.6570000,13.1510000,15.1720000,4.55,0.86,0.040,0.82,,5236.00,
"Kepler-1511 b",0.01090,9.03000000000e+02,0.1870,0.000000,88.980,,23.23827920,0.00022200,-0.00022200,0.175300,,0.150,0.017980,8.1910000,2454976.541410,0.007960,-0.007960,288.4211892,43.1797730,12.5440000,12.7130000,12.4710000,13.5640000,4.28,1.17,0.140,1.29,,6064.00,
"Kepler-1311 c",0.00624,1.67100000000e+03,0.0540,0.000000,89.370,,2.53573424,0.00001018,-0.00001018,0.036800,,0.109,0.006800,3.9410000,2454966.014100,0.003510,-0.003510,289.6512597,43.8244445,11.8590000,12.1690000,11.8250000,13.5280000,4.16,1.05,0.090,1.40,,5748.00,
"Kepler-1584 b",0.01010,8.86000000000e+02,0.3750,0.000000,89.210,,13.39970990,0.00015700,-0.00015700,0.116800,,0.144,0.016730,3.5320000,2454964.847440,0.009920,-0.009920,287.7626791,43.2743929,13.6420000,13.9210000,13.5240000,15.1050000,4.37,1.10,0.000,1.13,,6069.00,
"Kepler-1294 b",0.03240,4.01000000000e+02,0.2640,0.000000,89.930,,115.68622580,0.00084450,-0.00084450,0.468400,,0.285,0.094590,4.6250000,2455079.987670,0.005900,-0.005900,291.2681037,44.4881624,13.6570000,14.0210000,13.5970000,15.3610000,4.46,0.99,-0.030,0.97,,5776.00,
"Kepler-1297 b",0.00274,1.79000000000e+03,0.8310,0.000000,84.060,,1.68189002,0.00001032,-0.00001032,0.028300,,0.087,0.008320,3.0000000,2454966.081750,0.004800,-0.004800,289.9564415,47.0203466,13.3810000,13.6840000,13.2620000,14.8670000,4.45,0.99,-0.040,0.99,,5818.00,
"Kepler-1298 b",0.00714,1.37300000000e+03,0.8450,0.000000,88.820,,7.12811928,0.00004863,-0.00004863,0.082000,,0.117,0.004540,5.6140000,2454969.883050,0.005480,-0.005480,284.4227535,49.1061907,10.2140000,10.4150000,10.1490000,11.3880000,4.00,1.45,0.130,2.00,-30.76,6339.00,
"Kepler-131 c",0.02600,6.15000000000e+02,0.2700,0.000000,89.530,,25.51690000,,,0.168400,,0.075,0.006310,5.1410000,2454987.423420,,,288.5308924,40.9423730,10.1270000,10.4180000,10.0790000,11.4930000,4.42,1.02,0.120,1.03,-22.62,5685.00,0.4000
"Kepler-1316 b",0.03860,4.46000000000e+02,0.0803,0.000000,89.980,,87.97321360,0.00052310,-0.00052310,0.385900,,0.316,0.086670,14.6900000,2455001.289190,0.004770,-0.004770,298.8358277,40.2930714,12.4880000,12.8070000,12.4420000,14.1190000,4.36,1.04,0.030,1.12,,5884.00,
"Kepler-1335 b",0.00849,8.09000000000e+02,0.2320,0.000000,89.330,,6.26406846,0.00002706,-0.00002706,0.061500,,0.129,0.037870,2.4420000,2454965.828950,0.003350,-0.003350,284.8384394,42.0703371,13.2760000,13.7870000,13.1340000,15.2480000,4.60,0.77,-0.070,0.74,,4903.00,
"Kepler-1576 b",0.00352,1.05900000000e+03,0.4510,0.000000,88.540,,6.98471973,0.00005940,-0.00005940,0.072600,,0.093,0.009070,2.7230000,2454968.995350,0.006780,-0.006780,289.0739641,40.3660239,11.8890000,12.1970000,11.8000000,13.4390000,4.40,1.05,0.050,1.06,,5876.00,
"Kepler-1490 b",0.02980,3.48000000000e+02,0.9096,0.000000,88.850,,92.43629730,0.00090420,-0.00090420,0.372900,,0.271,0.083020,5.7090000,2454996.588300,0.009160,-0.009160,295.6935734,42.6094543,13.6710000,14.0920000,13.6160000,15.6160000,4.52,0.90,-0.080,0.87,,5515.00,
"Kepler-1512 b",0.00553,3.22000000000e+02,0.6370,0.000000,89.450,,20.35972599,0.00005874,-0.00005874,0.109700,,0.105,0.033960,1.9164000,2454967.290960,0.002400,-0.002400,289.2744976,44.4704056,10.7500000,11.3150000,10.6230000,13.4510000,4.64,0.73,0.200,0.67,-19.67,4372.00,
"Kepler-1338 b",0.00227,2.12400000000e+03,0.4318,0.000000,86.810,,0.93511806,0.00000276,-0.00000276,0.019300,,0.082,0.006480,1.5420000,2454965.199310,0.002540,-0.002540,284.0422701,41.6990348,12.1850000,12.4960000,12.1060000,13.6990000,4.41,1.04,0.000,1.05,,5909.00,
"Kepler-1323 b",0.00920,2.29100000000e+03,0.1020,0.000000,88.590,,0.92990668,0.00000075,-0.00000075,0.019100,,0.136,0.010870,1.7428000,2454965.250751,0.000712,-0.000712,292.8722515,46.0987290,11.1470000,11.3870000,11.1220000,12.4440000,4.21,1.18,0.020,1.40,2.90,6169.00,
"Kepler-1498 b",0.00733,5.64000000000e+02,0.1470,0.000000,89.770,,48.05140500,0.00093310,-0.00093310,0.252800,,0.119,0.027450,7.6380000,2454973.501000,0.015500,-0.015500,284.7780883,44.9167513,13.2330000,13.7030000,13.2380000,15.3520000,4.56,0.86,-0.010,0.81,,5256.00,
"Kepler-1499 b",0.00570,4.09000000000e+02,0.3480,0.000000,89.690,,44.20080000,0.00065530,-0.00065530,0.219600,,0.106,0.023560,4.6780000,2454996.224800,0.010400,-0.010400,283.9863480,41.6505091,11.5510000,12.0160000,11.4550000,13.6760000,4.58,0.82,-0.010,0.78,,5097.00,
"Kepler-133 c",0.02660,6.63000000000e+02,0.6800,0.000000,88.800,,31.51758600,0.00015800,-0.00015800,0.204000,,0.253,0.035760,7.7650000,2455018.153220,0.002660,-0.002660,297.2778906,48.3203542,11.3990000,11.6800000,11.3200000,12.8960000,4.19,1.02,0.282,1.43,10.16,5736.00,
"Kepler-1336 c",0.01120,1.26000000000e+03,0.3722,0.000000,87.000,,5.77721211,0.00002788,-0.00002788,0.063100,,0.153,0.013430,2.4230000,2454970.166810,0.003580,-0.003580,296.2776587,46.8998006,12.4230000,12.8190000,12.3660000,14.2640000,4.18,0.94,0.050,1.30,2.45,5512.00,1.4000
